Key,English,Japanese,Chinese,ChineseSimplified,ChineseTraditional,Turkish,Korean,French,Spanish,German,Thai,Unknown
OK,OK,はい,難しいよ〜><,是,是,,,,,,,
Cancel,Cancel,いいえ,まあ、がんばるわw,取消,取消,,,,,,,
Yes,Yes,はい,超感謝の極み(*´ω`*),是,是,,,,,,,
No,No,いいえ,簡単字を繁体字に自動翻訳する機能つけたけど、ちゃんと機能しているか怪しい,否,否,,,,,,,
Knight,Knight,ナイト,あー、まだ簡体字で入力してないから判別できんわw,骑士,騎士,,,,,,,
Warrior,Warrior,ウォーリア,あれ、いま入力してるのって簡単字じゃないのか,战士,戰士,,,,,,,
Wizard,Wizard,ウィザード,でも数字の「数」の字が変換されてるから機能してるねb,魔法师,魔法師,,,,,,,
Lancer,Lancer,ランサー,じゃあよかった(*´ω`*)w,投枪手,投槍手,,,,,,,
Confirm,Confirm,確認,明日ビルドされるバージョンではローカライズの確認が容易になる機能が入ってる(たぶん),确认,確認,,,,,,,
Server maintenance caution text,Sorry ! Now server maintenance !Please Wait a minute !,ただいまサーバーメンテナンス中です。しばらくお待ちください。,マジか、仕事はえー,现在服务器正在维修中。请暂时等候一下。,現在服務器正在維修中。請暫時等候一下。,,,,,,,
Unit Second,Second,秒,とりあえず俺は先に寝るでござるよー！ローカライズありがとうー！おやすみー！,秒,秒,,,,,,,
Pirate,Pirate,海賊,おやすみ！,海盗,海盜,,,,,,,
Archer,Archer,アーチャー,とりあえず全部入れたけど、いろいろ調べて直していきます。特に職業は難しい、英語でもいい気がしてきたw確定したら簡体字に直します、入力が面倒なので…,射箭手,射箭手,,,,,,,
Network Connect Error,Server connection unavailable !Please confirm your internet condition and retry !,サーバーに接続できません。インターネット接続を確認してもう一度お試し下さい。,ありがとー！(´;ω;`),连接不到服务器。请确认因特网连接后再次试一下。,連接不到服務器。請確認因特網連接後再次試一下。,,,,,,,
Retry,Retry,リトライ,終わった〜〜！！現時点では問題ないはず。追加されたらまた書き込むわ＾＾,再一次,再一次,,,,,,,
Please input your username,Please input your username !,あなたのユーザー名を入力してください。,,请输入您的用戸名,請輸入您的用戸名,,,,,,,
User registration,User registration,ユーザー登録,,登录用戸,登錄用戸,,,,,,,
Registration,Registration,登録,,登录,登錄,,,,,,,
Deck Edit,Deck Edit,デッキ編成,,编辑卡片叠,編輯卡片疊,,,,,,,
Ranking,Ranking,ランキング,,排名,排名,,,,,,,
Map Edit,Map Edit,マップ編集,,编辑地图,編輯地圖,,,,,,,
Shop,Shop,ショップ,,商店,商店,,,,,,,
Home,Home ,ホーム,,主頁,主頁,,,,,,,
Setting,Setting,設定,,设定,設定,,,,,,,
Player Profile,Player Profile,プレイヤープロフィール,,游戏者简介,遊戲者簡介,,,,,,,
Battle,Battle,対戦する,,对战,對戰,,,,,,,
Stone Wall,Stone Wall,石壁,,石墙,石牆,,,,,,,
Crystal,Crystal,クリスタル,,水晶,水晶,,,,,,,
Coin,Coin,コイン,,硬币,硬幣,,,,,,,
Caution,Caution,警告,,警告,警告,,,,,,,
This Username Contains Unusable Word,<color=red>※This username Contains unusable word !</color>,<color=red>※ユーザー名として使用できない文字が含まれています</color>,,<color=red>含有不能用在用戸名的文字！</color>,<color=red>含有不能用在用戸名的文字！ </color>,,,,,,,
Character Limit Over,<color=red>※Character limit over !</color>,<color=red>※文字数制限を超えました</color>,,<color=red>字数超过了！</color>,<color=red>字數超過了！ </color>,,,,,,,
Save,Save,保存する,,保存,保存,,,,,,,
Username,Username,ユーザー名,,用戸名,用戸名,,,,,,,
War Bear,War Bear,ウォーベア,,战熊,戰熊,,,,,,,
App Update Confirm,Please download latest version app !,最新のバージョンのアプリをダウンロードしてください,,,,,,,,,,
Tesla,Tesla,テスラ,,,,,,,,,,
Crossbow,Crossbow,クロスボウ,,,,,,,,,,
Cannon,Cannon,大砲,,,,,,,,,,
Mortar,Mortar,迫撃砲,,,,,,,,,,
Launcher,Launcher,対空砲,,,,,,,,,,
Needle Trap,Needle Trap,針の罠,,,,,,,,,,
Fire Trap,Fire Trap,炎の罠,,,,,,,,,,
Battle Finish,Battle Finish,バトル終了,,,,,,,,,,
